Title,Artist,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Tempo,Country,Duration (m)
Another Love,Tom Odell,Long Way Down (Deluxe),2013-06-24,92,244.36,True,44.5,53.7,122.769,FR,4.072666666666667
Shavkat,Freeze corleone,ADC,2023-09-11,71,219.865,True,62.6,73.0,111.261,FR,3.664416666666667
Rich Music,Josman,J.000.$,2023-10-28,54,229.0,True,55.3,62.7,174.019,FR,3.816666666666667
Eurostar (feat. Central Cee),"Ninho, Central Cee",NI,2023-06-30,77,187.057,True,77.7,70.1,137.054,FR,3.1176166666666663
Popcorn Salé,SANTA,Popcorn Salé,2022-03-25,71,238.653,False,35.5,29.0,168.345,FR,3.97755
Emorio,"Trinix, Fafá de Belém",Emorio,2023-04-28,76,163.84,False,66.9,71.8,120.955,FR,2.7306666666666666
Urus,Favé,Urus,2022-10-12,72,147.788,True,71.0,71.2,162.106,FR,2.4631333333333334
"EVERYDAY (feat. Shiva, ANNA, Geolier)","Takagi & Ketra, Shiva, ANNA, Geolier","EVERYDAY (feat. Shiva, ANNA, Geolier)",2023-10-13,83,190.188,False,74.8,51.6,78.038,IT,3.1698
Cadillac (feat. Artie 5ive),"Boro, Artie 5ive, Andry The Hitmaker",Cadillac (feat. Artie 5ive),2023-09-21,81,155.526,True,80.5,87.3,94.976,IT,2.5921000000000003
Si No Estás,iñigo quintero,Si No Estás,2022-09-23,98,184.061,False,53.7,42.1,98.224,IT,3.0676833333333335
Insta Lova,"Marracash, Guè",Santeria,2016-06-24,80,206.805,False,69.0,79.5,101.071,IT,3.44675
Che t'o dico a fa',Angelina Mango,Che t'o dico a fa',2023-10-06,77,187.742,False,64.7,68.4,165.028,IT,3.129033333333333
MILANO,"BIA, Sfera Ebbasta, Fivio Foreign",REALLY HER (INTL DELUXE),2023-09-29,79,194.675,True,80.0,42.9,143.918,IT,3.2445833333333334
Papaya,VillaBanks,VILLABANKS,2023-10-26,50,139.714,True,67.4,82.69999999999999,140.044,IT,2.3285666666666667
VETRI NERI,"AVA, ANNA, Capo Plaza",VETRI NERI,2023-05-19,81,164.776,True,75.4,76.7,134.084,IT,2.7462666666666666
"BON TON (feat. Lazza, Blanco, Sfera Ebbasta & Michelangelo)","Drillionaire, Lazza, BLANCO, Sfera Ebbasta, Michelangelo",10,2023-06-29,80,238.533,False,67.80000000000001,81.39999999999999,129.988,IT,3.9755499999999997
COME VUOI,Geolier,IL CORAGGIO DEI BAMBINI,2023-01-06,78,172.615,True,75.6,63.1,130.052,IT,2.876916666666667
2minuti,Calcutta ,RELAX,2023-10-20,73,214.291,False,76.4,59.3,122.959,IT,3.5715166666666667
Nightmares,"Bresh, Pinguini Tattici Nucleari",Nightmares,2023-09-29,77,201.782,False,71.39999999999999,83.3,116.994,IT,3.3630333333333335
ABC (feat. Bello Figo),"Slings, Bello Figo",TRAPHOUSE,2023-10-20,59,143.424,True,88.8,47.0,145.953,IT,2.3904
Hoe (feat. Sfera Ebbasta),"Tedua, Sfera Ebbasta",La Divina Commedia,2023-06-02,79,137.098,False,93.6,75.7,114.044,IT,2.284966666666667
